epoch,loss,accuracy,val_loss,val_accuracy,val_TN,val_FP,val_FN,val_TP,tpr,far,precision,F1
1,0.4944,0.8087,0.4796,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
2,0.4879,0.8094,0.4777,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
3,0.4866,0.8094,0.4791,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
4,0.4888,0.8094,0.4788,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
5,0.4889,0.8094,0.4804,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
6,0.4884,0.8094,0.4811,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
7,0.4755,0.8097,0.3837,0.8148,29307.0,1.0,6659.0,0.0,0.0,3.412037668895865e-05,0.0,
8,0.3178,0.8801,0.2666,0.93,28051.0,1257.0,1259.0,5400.0,0.8109325724583271,0.04288931349802102,0.8111762054979721,0.8110543706818865
9,0.4576,0.8313,0.47,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
10,0.5013,0.8074,0.4691,0.8193,29308.0,0.0,6501.0,158.0,0.023727286379336236,0.0,1.0,0.04635470148159014
11,0.4614,0.8235,0.4679,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
12,0.4849,0.8114,0.4564,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
13,0.4361,0.8228,0.3971,0.8176,29304.0,4.0,6557.0,102.0,0.015317615257546179,0.0001364815067558346,0.9622641509433962,0.030155210643015525
14,0.4372,0.83,0.4655,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
15,,0.8188,,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
16,,0.8094,,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
17,,0.8094,,0.8149,29308.0,0.0,6659.0,0.0,0.0,0.0,,
18,,0.8094,,0.8149,28051.0,1257.0,1259.0,5400.0,0.8109325724583271,0.04288931349802102,0.8111762054979721,0.8110543706818865
